Date,Open,High,Low,Close,Adj Close,Volume
1998-08-07,16.900000,16.900000,16.900000,16.900000,11.279880,0
1998-08-10,16.809999,16.809999,16.809999,16.809999,11.219809,0
1998-08-11,16.590000,16.590000,16.590000,16.590000,11.072968,0
1998-08-12,16.830000,16.830000,16.830000,16.830000,11.233158,0
1998-08-13,16.690001,16.690001,16.690001,16.690001,11.139715,0
1998-08-14,16.500000,16.500000,16.500000,16.500000,11.012897,0
1998-08-17,16.820000,16.820000,16.820000,16.820000,11.226480,0
1998-08-18,17.100000,17.100000,17.100000,17.100000,11.413368,0
1998-08-19,17.049999,17.049999,17.049999,17.049999,11.379993,0
1998-08-20,16.950001,16.950001,16.950001,16.950001,11.313251,0
1998-08-21,16.790001,16.790001,16.790001,16.790001,11.206458,0
1998-08-24,16.900000,16.900000,16.900000,16.900000,11.279880,0
1998-08-25,16.969999,16.969999,16.969999,16.969999,11.326599,0
1998-08-26,16.840000,16.840000,16.840000,16.840000,11.239831,0
1998-08-27,16.190001,16.190001,16.190001,16.190001,10.805989,0
1998-08-28,15.960000,15.960000,15.960000,15.960000,10.652477,0
1998-08-31,14.870000,14.870000,14.870000,14.870000,9.924959,0
1998-09-01,15.450000,15.450000,15.450000,15.450000,10.312078,0
1998-09-02,15.390000,15.390000,15.390000,15.390000,10.272029,0
1998-09-03,15.260000,15.260000,15.260000,15.260000,10.185264,0
1998-09-04,15.130000,15.130000,15.130000,15.130000,10.098495,0
1998-09-08,15.900000,15.900000,15.900000,15.900000,10.612431,0
1998-09-09,15.630000,15.630000,15.630000,15.630000,10.432219,0
1998-09-10,15.230000,15.230000,15.230000,15.230000,10.165238,0
1998-09-11,15.680000,15.680000,15.680000,15.680000,10.465593,0
1998-09-14,16.010000,16.010000,16.010000,16.010000,10.685847,0
1998-09-15,16.129999,16.129999,16.129999,16.129999,10.765945,0
1998-09-16,16.250000,16.250000,16.250000,16.250000,10.846037,0
1998-09-17,15.840000,15.840000,15.840000,15.840000,10.572384,0
1998-09-18,15.860000,15.860000,15.860000,15.860000,10.585733,0
1998-09-21,15.920000,15.920000,15.920000,15.920000,10.625778,0
1998-09-22,16.010000,16.010000,16.010000,16.010000,10.685847,0
1998-09-23,16.580000,16.580000,16.580000,16.580000,11.066297,0
1998-09-24,16.209999,16.209999,16.209999,16.209999,10.819337,0
1998-09-25,16.240000,16.240000,16.240000,16.240000,10.839360,0
1998-09-28,16.309999,16.309999,16.309999,16.309999,10.886085,0
1998-09-29,16.309999,16.309999,16.309999,16.309999,10.886085,0
1998-09-30,15.820000,15.820000,15.820000,15.820000,10.559033,0
1998-10-01,15.340000,15.340000,15.340000,15.340000,10.238659,0
1998-10-02,15.600000,15.600000,15.600000,15.600000,10.412196,0
1998-10-05,15.380000,15.380000,15.380000,15.380000,10.265357,0
1998-10-06,15.320000,15.320000,15.320000,15.320000,10.225309,0
1998-10-07,15.100000,15.100000,15.100000,15.100000,10.078470,0
1998-10-08,14.930000,14.930000,14.930000,14.930000,9.965003,0
1998-10-09,15.320000,15.320000,15.320000,15.320000,10.225309,0
1998-10-12,15.520000,15.520000,15.520000,15.520000,10.358801,0
1998-10-13,15.480000,15.480000,15.480000,15.480000,10.332101,0
1998-10-14,15.650000,15.650000,15.650000,15.650000,10.445567,0
